PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
a59123ef,Betim Fazliji,xk KVX,MF,25,5,1,104,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
fdbe14c8,Jovan Milošević,rs SRB,FW,19,5,0,104,1.2,1,0,1,0,1,1,0,0,0.87,0.00,0.87,0.00,0.00,Matches,UEFA Conference League,2024-2025
ec572d9c,Leonit Ibraimov,ch SUI,MF,16,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
0bd3bd8c,Noah Probst,ch SUI,MF,19,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
5666512d,Nikolaj Moller,se SWE,FW,22,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
5352d591,Alessandro Vogt,ch SUI,FW,19,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
a964cf6e,Pascal Büttiker,ch SUI,DF,18,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
b99809fd,Bela Dumrath,de GER,GK,20,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
7ea64802,Gentrit Muslija,ch SUI,GK,18,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
5ea36b9e,Behar Neziri,xk KVX,MF,21,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
38d0bd2b,Lukas Watkowiak,de GER,GK,28,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
64238658,Thibo Somers,be BEL,"MF,FW",25,36,36,"3,105",34.5,6,2,8,6,0,0,3,0,0.17,0.06,0.23,0.17,0.23,Matches,UEFA Conference League,2024-2025
dd8c04a9,Christiaan Ravych,be BEL,DF,22,34,34,"2,936",32.6,1,0,1,1,0,0,2,1,0.03,0.00,0.03,0.03,0.03,Matches,UEFA Conference League,2024-2025
411fb06f,Hannes Van der Bruggen,be BEL,MF,31,33,31,"2,521",28.0,1,1,2,1,0,0,10,0,0.04,0.04,0.07,0.04,0.07,Matches,UEFA Conference League,2024-2025
414d77f9,Lawrence Agyekum,gh GHA,MF,20,33,29,"2,406",26.7,2,2,4,2,0,0,2,0,0.07,0.07,0.15,0.07,0.15,Matches,UEFA Conference League,2024-2025
8396933c,Gary Magnée,be BEL,"MF,DF",24,31,25,"2,017",22.4,0,4,4,0,0,0,0,1,0.00,0.18,0.18,0.00,0.18,Matches,UEFA Conference League,2024-2025
5fdab099,Erick Nunes,br BRA,MF,20,33,25,"1,805",20.1,0,3,3,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches,UEFA Conference League,2024-2025
e7403902,Maxime Delanghe,be BEL,GK,23,24,24,"2,151",23.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
d8c19a60,Ibrahim Diakité,gn GUI,DF,20,28,24,"2,116",23.5,3,0,3,3,0,0,2,1,0.13,0.00,0.13,0.13,0.13,Matches,UEFA Conference League,2024-2025
66fb354d,Francis Abu,gh GHA,MF,23,33,19,"1,823",20.3,0,4,4,0,0,0,3,1,0.00,0.20,0.20,0.00,0.20,Matches,UEFA Conference League,2024-2025
1f9cbd0b,Felipe Augusto,br BRA,FW,20,31,16,"1,565",17.4,2,2,4,2,0,1,1,0,0.12,0.12,0.23,0.12,0.23,Matches,UEFA Conference League,2024-2025
e7281ea9,Flávio Nazinho,pt POR,"MF,DF",21,27,16,"1,544",17.2,1,6,7,1,0,0,9,0,0.06,0.35,0.41,0.06,0.41,Matches,UEFA Conference League,2024-2025
9cfd5b00,Alan Minda,ec ECU,"FW,MF",21,29,15,"1,387",15.4,1,1,2,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,Matches,UEFA Conference League,2024-2025
0d3585b5,Kévin Denkey,tg TOG,FW,23,17,14,"1,311",14.6,10,1,11,9,1,1,3,0,0.69,0.07,0.76,0.62,0.69,Matches,UEFA Conference League,2024-2025
2ccf6350,Edgaras Utkus,lt LTU,DF,24,24,14,"1,296",14.4,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
bb558d94,Emmanuel Kakou,ci CIV,DF,19,18,14,"1,270",14.1,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,UEFA Conference League,2024-2025
592410a2,Warleson,br BRA,GK,27,13,12,"1,087",12.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
49070d66,Lucas Perrin,fr FRA,DF,25,12,11,"1,034",11.5,2,0,2,2,0,0,4,0,0.17,0.00,0.17,0.17,0.17,Matches,UEFA Conference League,2024-2025
f3ec7e64,Kazeem Olaigbe,be BEL,"MF,FW",21,19,10,902,10.0,3,0,3,2,1,1,1,0,0.30,0.00,0.30,0.20,0.20,Matches,UEFA Conference League,2024-2025
42591ed0,Senna Miangue,be BEL,DF,27,16,7,802,8.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
ad8c3404,Bruninho,br BRA,MF,21,14,5,517,5.7,1,2,3,1,0,0,0,0,0.17,0.35,0.52,0.17,0.52,Matches,UEFA Conference League,2024-2025
731f1f5a,Steve Ngoura,fr FRA,FW,19,8,5,389,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
a33ee121,Paris Brunner,de GER,FW,18,18,2,529,5.9,3,0,3,2,1,1,1,0,0.51,0.00,0.51,0.34,0.34,Matches,UEFA Conference League,2024-2025
abe0019a,Kader Ouattara,bf BFA,MF,19,8,2,283,3.1,2,0,2,2,0,0,1,0,0.64,0.00,0.64,0.64,0.64,Matches,UEFA Conference League,2024-2025
6d58781d,Malamine Efekele,fr FRA,"MF,FW",20,13,2,243,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
6e17d441,Jesper Daland,no NOR,DF,24,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
8f3b1b5d,Boris Popović,rs SRB,DF,24,2,2,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
9b13056d,Nils De Wilde,be BEL,MF,21,9,0,137,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
9e00bc43,Jonas Lietaert,be BEL,DF,20,2,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
7d014cb0,Heriberto Jurado,mx MEX,MF,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
588dcc63,Alama Bayo,gn GUI,FW,18,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
b5acb7a9,Dalangunypole Gomis,fr FRA,DF,20,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
e5562cfd,Bas Langenbick,be BEL,GK,21,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
21e4bfb5,Béni Mpanzu,be BEL,DF,20,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
6b33d86b,Eloy Room,cw CUW,GK,35,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
fa71b998,Muhammed Şengezer,tr TUR,GK,27,34,34,"3,060",34.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
091d6ee5,Jerome Opoku,gh GHA,DF,25,33,29,"2,610",29.0,3,2,5,2,1,3,9,1,0.10,0.07,0.17,0.07,0.14,Matches,UEFA Conference League,2024-2025
17f3620a,Krzysztof Piątek,pl POL,FW,29,33,29,"2,607",29.0,21,2,23,16,5,8,6,1,0.72,0.07,0.79,0.55,0.62,Matches,UEFA Conference League,2024-2025
73ddc40c,Léo Duarte,br BRA,DF,28,29,28,"2,466",27.4,2,0,2,2,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,UEFA Conference League,2024-2025
