PlayerID,Name,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,goals_per_shot,goals_per_shot_on_target,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,League,Season
847e4cd8,Aderlan Santos,Aderlan Santos,br BRA,DF,Rio Ave,35,1989,18,18,"1,580",17.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,11,1,9.1,0.06,0.63,Primeira Liga,2024-2025
c54ed705,Bruno Santos,Bruno Santos,pt POR,FW,Farense,21,2003,3,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,0,0,,0.00,0.00,Primeira Liga,2024-2025
394b4db4,Gabriel Santos,Gabriel Santos,br BRA,FW,Nacional,25,1999,3,0,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,3,0,0.0,0.00,3.03,Primeira Liga,2024-2025
37b15b11,Hevertton Santos,Hevertton Santos,br BRA,DF,Vitória Guimarães,23,2001,6,2,261,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,2,1,50.0,0.34,0.69,Primeira Liga,2024-2025
6ef8177e,Leandro Santos,Leandro Santos,pt POR,MF,Benfica,18,2005,3,3,265,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,1,0,0.0,0.00,0.34,Primeira Liga,2024-2025
fa5f51c8,Léo Santos,Léo Santos,br BRA,DF,Nacional,25,1998,16,8,774,8.6,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,0.17,0.50,6,2,33.3,0.23,0.70,Primeira Liga,2024-2025
6fc57554,Nuno Santos,Nuno Santos,pt POR,"MF,FW",Vitória Guimarães,25,1999,33,21,"1,907",21.2,3,4,7,3,0,0,5,0,0.14,0.19,0.33,0.14,0.33,Matches,0.06,0.17,48,18,37.5,0.85,2.27,Primeira Liga,2024-2025
a6ee4f55,Nuno Santos,Nuno Santos,pt POR,MF,Sporting CP,29,1995,7,4,354,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,8,1,12.5,0.25,2.03,Primeira Liga,2024-2025
b30b0a0b,Pedro Santos,Pedro Santos,pt POR,MF,Arouca,23,2000,31,14,"1,526",17.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,0.00,11,1,9.1,0.06,0.65,Primeira Liga,2024-2025
e65748d2,Pedro Santos,Pedro Santos,pt POR,"MF,FW",Moreirense,21,2003,21,5,560,6.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0.00,,5,0,0.0,0.00,0.80,Primeira Liga,2024-2025
